Company,Class,"Value of Shares ($1,000s) ▼","Change in Value ($1,000s)",Change (%),Shares Held
DOMINION ENERGY INC,COM,"205,270","6,709",3.38,"2,839,137"
MONDELEZ INTL INC,CL A,"202,416","5,071",2.57,"4,917,777"
INTUIT,COM,"201,930","5,493",2.80,"922,773"
BOSTON SCIENTIFIC CORP,COM,"200,231","5,404",2.77,"5,269,230"
OCCIDENTAL PETE CORP DEL,COM,"199,797","14,314",7.72,"2,739,943"
CROWN CASTLE INTL CORP NEW,COM,"199,649","4,699",2.41,"1,869,549"
ENBRIDGE INC,COM,"199,422","4,456",2.29,"6,153,094"
CSX CORP,COM,"197,113","4,497",2.34,"2,787,620"
MARATHON PETE CORP,COM,"196,059","1,578",.81,"2,477,054"
CHARTER COMMUNICATIONS INC NEW,CL A,"190,909","-18,774",(8.95),"596,909"
FEDEX CORP,COM,"187,967","5,341",2.92,"841,168"
